# Table containing rPerf for all IBM servers
# http://www-03.ibm.com/systems/power/hardware/reports/system_perf.html
#
# Changes
#       v01: updated frequency from 3.20 to 3.22 for 3 x p750
#	v02: updated frequency from P7 3.7 to 3.72 
#	v03: updated by CPW collumn
#	v04: updated by new POWER7+ servers 770
#       v05: updated by old POWER5 and POWER7+ 710-760
#       v06: added 9131-52A : p5-520: P5+/2  :  1.9    :  11.16    :
#       v07: update as per latest Oct 2013 data : POB03022USEN.PDF
#       v08: updated by April 2014 data : POB03046USEN.PDF
#       v09: updated by Oct 2014: POO03017USEN.PDF
#       v10: updated by Nov 2014: POB03046USEN.PDF
#       v11: April 28, 2015: POO03017USEN.PDF
#       v12: June 2, 2015: POO03017USEN.PDF + enhanced about SMT
#       v13: March 23, 2016: POO03017USEN.PDF
#       v14: Oct 11, 2016: POO03017USEN.PDF
#       v15: Jun, 2017: added PFlex*
#       v16: Feb, 2018: POWER9
#       v17: Apr, 2018: POWER9
#       v18: Aug, 2018: fix: 3 7895-42X lines had wrong model, it should be 7895-43X
#       v19: August 7, 2018
#       v20: Oct 8, 2019
#       v21: July 14, 2020
#       v22: April 13, 2021
#       v23: Sep 8, 2021
#       v24: July 12, 2022
#       v25: Feb 14, 2023
#
# cut -c1-37 rperf_table.txt | egrep -v "^#" | sort | uniq
#
# Model  : Type :  CPU    :  GHz    :  
7778-23X : JS23 :  P6+/4  :  4.2    :
7778-23X : JS43 :  P6+/8  :  4.2    :
7891-73X : PS703:  P7/16  :  2.4    :
7891-74X : PS704:  P7/32  :  2.4    :
7895-22X : p260 :  P7/16  :  3.2    :
7895-22X : p260 :  P7/16  :  3.5    :
7895-22X : p260 :  P7/8   :  3.3    :
7895-23X :PFlex260:P7/16  :  3.2    :
7895-23X :PFlex260:P7/16  :  3.5    :
7895-23X :PFlex260:P7+/16 :  3.6    :
7895-23X :PFlex260:P7+/16 :  4.1    :
7895-23X :PFlex260:P7+/4  :  4.0    :
9080-M9S : E980  :  P9/28 : 3.5-3.9 :
9080-M9S : E980  :  P9/28 : 3.7-3.9 :
9080-M9S : E980  :  P9/28 : 3.9-4.0 :
9080-M9S : E980  :  P9/32 : 3.5-3.9 :
9080-M9S : E980  :  P9/32 : 3.7-3.9 :
9080-M9S : E980  :  P9/32 : 3.9-4.0 :
9080-M9S : E980  :  P9/36 : 3.7-3.9 :
9080-M9S : E980  :  P9/40 : 3.7-3.9 :
9080-M9S : E980  :  P9/44 : 3.5-3.9 :
9080-M9S : E980  :  P9/48 : 3.5-3.9 :
9080-M9S : E980  :  P9/64 : 3.9-4.0 :
9080-M9S : E980  :  P9/80 : 3.7-3.9 :
9080-M9S : E980  :  P9/8  : 3.5-3.9 :
9080-M9S : E980  :  P9/8  : 3.7-3.9 :
9080-M9S : E980  :  P9/8  : 3.9-4.0 :
9080-M9S : E980  :  P9/88 : 3.5-3.9 :
9080-M9S : E980  :  P9/96 : 3.5-3.9 :
9080-M9S : E980  :  P9/96 : 3.9-4.0 :
9080-MHE : E880C :  P8/120:  4.1    :
9080-MHE : E880C :  P8/128:  4.3    :
9080-MHE : E880C :  P8/144:  4.0    :
9080-MHE : E880C :  P8/160:  4.1    :
9080-MHE : E880C :  P8/192:  4.0    :
9080-MHE : E880C :  P8/32 :  4.3    :
9080-MHE : E880C :  P8/40 :  4.1    :
9080-MHE : E880C :  P8/48 :  4.0    :
9080-MHE : E880C :  P8/64 :  4.3    :
9080-MHE : E880C :  P8/80 :  4.1    :
9080-MHE : E880C :  P8/96 :  4.0    :
9080-MHE : E880C :  P8/96 :  4.3    :
9080-MME : E870C :  P8/32 :  4.0    :
9080-MME : E870C :  P8/64 :  4.0    :
9105-22A : S1022 :  P10/12 :2.9-4.0 :
9105-22A : S1022 :  P10/24 :2.9-4.0 :
9105-22A : S1022 :  P10/32 :2.7-4.0 :
9105-22A : S1022 :  P10/40 :2.4-4.0 :
9105-22B : S1022s:  P10/16 :3-3.9   :
9105-22B : S1022s:  P10/4  :3-3.9   :
9105-22B : S1022s:  P10/8  :3-3.9   :
9105-41B : S1014 :  P10/24 :2.7-3.9 :
9105-41B : S1014 :  P10/4  :3-3.9   :
9105-41B : S1014 :  P10/8  :3-3.9   :
9105-42A : S1024 :  P10/12 :3.4-4.0 :
9105-42A : S1024 :  P10/24 :3.4-4.0 :
9105-42A : S1024 :  P10/32 :3.1-4.0 :
9105-42A : S1024 :  P10/48 :2.7-3.9 :
9109-RMD : 760  :  P7+/12 :  3.1    :
9109-RMD : 760  :  P7+/12 :  3.4    :
9109-RMD : 760  :  P7+/24 :  3.1    :
9109-RMD : 760  :  P7+/24 :  3.4    :
9109-RMD : 760  :  P7+/36 :  3.1    :
